ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
3812,FORD,1,13,South West,2,1242,2016,1088,122,0.518,0.027,,0.051,0.660077146
658,FORD,1,13,North West,1,1679,2002,1113,178,0.656,0.083,,0.066,0.720862242
3448,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.174474166
1640,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.360934291
3474,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.033709207
3426,BMW,2,6,South West,1,2993,2016,2185,159,0.161,0.057,,,0.339860308
164,TOYOTA,2,14,South West,1,1998,2002,1490,158,0.33,0.49,0.044,,0.058465714
567,VOLKSWAGEN,1,13,London,4,1390,2002,1143,154,0.165,0.047,,0.075,0.600881147
8,VAUXHALL,1,96,London,1,1796,2002,2000,219,0.486,0.013,,0.037,0.127273404
2691,FORD,2,96,London,5,1499,2016,1533,109,0.338,0.07,,,0.571651268
2799,VAUXHALL,1,14,North West,5,1364,2016,1409,149,0.699,0.008,,0.044,0.078883151
1831,VAUXHALL,1,13,North West,1,1364,2016,1437,142,0.58,0.014,,0.034,0.337926237
350,FORD,1,14,South West,1,1988,2002,1242,207,0.679,0.145,,0.055,0.64801353
1875,VAUXHALL,1,14,South West,5,999,2016,1199,100,0.3,0.037,0.001,0.033,0.173791275
917,FORD,1,13,London,2,1299,2002,965,154,0.395,0.103,,0.061,0.490613828
2416,VOLKSWAGEN,2,14,London,1,1968,2016,1394,119,0.079,0.063,,,0.725048534
1969,FORD,1,14,London,1,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.109608136
1516,VOLKSWAGEN,1,13,South West,4,1984,2016,1495,159,0.609,0.047,,0.06,0.237632485
524,BMW,1,4,North West,1,1995,2002,0,187,0.852,,,,0.876623846
2642,VAUXHALL,1,14,London,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.894629953
2116,VAUXHALL,1,13,London,1,1398,2016,1141,118,0.463,0.01,,0.031,0.742985233
3324,BMW,1,14,North West,1,1998,2016,1505,130,0.403,0.018,,0.065,0.817864794
661,FORD,1,13,North West,1,1596,2002,1154,165,0.518,0.059,,0.115,0.992059355
3533,VOLKSWAGEN,1,14,South West,1,999,2016,1055,108,0.535,0.012,,0.039,0.067103328
2211,FORD,2,14,South West,2,1499,2016,1170,94,0.262,0.047,,,0.700195387
3790,FORD,2,13,South West,5,1499,2016,1159,94,0.351,0.051,,,0.873436352
846,VOLKSWAGEN,1,14,North West,2,1390,2002,1338,163,0.121,0.04,,0.074,3.39546E-05
3515,VAUXHALL,2,14,South West,5,1598,2016,1335,88,0.268,0.047,,,0.951435593
1870,VAUXHALL,2,14,South West,5,1248,2016,1237,100,0.141,0.063,,,0.164679921
3229,VAUXHALL,1,14,North West,5,1398,2016,1199,137,0.645,0.008,,0.044,0.941543273
2315,VAUXHALL,1,14,London,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.97953014
1511,FORD,1,14,South West,1,2261,2016,1583,175,0.239,0.046,0.001,0.048,0.363955207
2981,VAUXHALL,1,14,North West,2,1364,2016,1237,122,0.276,0.013,,0.019,0.061573098
866,VOLKSWAGEN,2,14,South West,1,1896,2002,0,146,0.081,0.376,0.029,,0.603058616
1160,BMW,1,13,South West,4,2494,2002,1480,215,0.494,0.017,,0.079,0.102633436
3784,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.608154397
2589,FORD,2,6,London,5,1997,2016,1661,115,0.177,0.042,,,0.764595254
1788,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.43095483
1722,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.14812304
3282,VAUXHALL,1,14,North West,5,1364,2016,1445,155,0.639,0.016,,0.03,0.896568587
1922,VOLKSWAGEN,1,14,London,2,1395,2016,1247,120,0.158,0.034,,0.028,0.466700227
2320,FORD,2,14,North West,5,1997,2016,1788,134,0.351,0.065,0.002,,0.800557322
3140,TOYOTA,1,14,North West,2,998,2016,950,95,0.59,0.008,,0.033,0.510273389
2106,VAUXHALL,2,14,North West,2,1598,2016,1350,103,0.17,0.032,0.001,,0.666221202
3655,VAUXHALL,2,14,South West,5,1598,2016,1613,99,0.056,0.054,,,0.072507789
116,VAUXHALL,1,14,South West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.4439846
491,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.401296265
2984,BMW,2,6,North West,5,1995,2016,1605,119,0.128,0.023,,,0.543256428
3399,BMW,2,14,London,1,1995,2016,1425,114,0.248,0.028,,,0.844867248
520,VOLKSWAGEN,2,14,London,1,1896,2002,1396,146,0.081,0.376,0.029,,0.597633664
3385,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.172457766
1095,FORD,2,14,South West,1,1399,2002,1166,121,0.154,0.423,0.036,,0.642673334
2886,BMW,1,2,North West,1,1998,2016,1505,138,0.213,0.022,,0.053,0.405787544
1836,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.936571765
3821,VAUXHALL,1,13,South West,5,1398,2016,1141,118,0.463,0.01,,0.031,0.492339461
2988,BMW,1,14,North West,1,1499,2016,1380,116,0.164,0.016,,0.041,0.578856622
856,TOYOTA,1,5,London,1,1796,2002,0,200,,,,,0.736528218
151,TOYOTA,1,13,North West,2,998,2002,1040,137,0.43,0.03,,0.12,0.679545034
787,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.742098004
2198,VOLKSWAGEN,2,14,South West,5,1968,2016,1429,127,0.067,0.07,,,0.97326828
388,FORD,2,6,South West,1,1753,2002,1310,145,0.347,0.489,0.044,0.042,0.516162907
3265,FORD,1,14,North West,4,998,2016,1168,114,0.206,0.034,,0.05,0.936984218
78,FORD,1,6,London,1,1596,2002,1227,200,0.518,0.059,,0.115,0.399785711
21,FORD,2,14,South West,5,1399,2002,1145,117,0.154,0.423,0.036,,0.083956945
3622,FORD,1,14,South West,5,998,2016,1364,125,0.428,0.037,0.001,0.053,0.368394979
2034,FORD,2,14,South West,5,1499,2016,1170,94,0.351,0.051,,,0.005699977
3217,BMW,1,14,North West,2,1997,2016,1450,151,0.25,0.027,,0.029,0.236616648
3021,BMW,1,5,North West,2,1499,2016,1435,129,0.215,0.01,,0.037,0.300902255
3335,TOYOTA,1,14,South West,2,1329,2016,1133,119,0.311,0.008,,0.041,0.190378755
473,VOLKSWAGEN,1,2,London,4,1984,2002,1460,202,0.337,0.016,,0.023,0.671108218
781,FORD,2,6,London,1,1998,2002,0,159,0.204,0.443,0.026,,0.322683109
2842,FORD,1,14,North West,2,1242,2016,1095,122,0.518,0.027,,0.051,0.967609237
2670,FORD,1,14,London,1,1242,2016,1095,122,0.518,0.027,,0.051,0.57083887
1284,FORD,1,14,South West,1,1999,2002,1396,192,0.284,0.08,,0.056,0.008302709
850,FORD,1,3,London,2,1388,2002,0,158,0.662,,,,0.994356345
215,TOYOTA,1,14,London,2,1398,2002,1280,159,0.47,0.02,,0.07,0.808360685
923,FORD,1,14,London,1,1798,2002,1396,187,0.375,0.091,,0.077,0.708549375
1471,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.717347201
458,FORD,1,14,South West,1,1596,2002,1189,192,0.518,0.059,,0.115,0.955702937
61,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.956830375
3718,VOLKSWAGEN,2,96,South West,5,1598,2016,1604,111,0.147,0.045,,,0.604695718
3707,BMW,1,6,South West,5,1998,2016,1595,134,0.151,0.025,,0.04,0.295269638
3794,BMW,2,6,London,1,2993,2016,2185,159,0.161,0.057,,,0.746414348
2603,BMW,1,5,London,1,1998,2016,1615,134,0.151,0.025,,0.04,0.966982136
918,BMW,1,13,London,1,1995,2002,1375,175,0.264,0.032,,0.032,0.955517467
395,FORD,1,6,South West,1,1796,2002,1238,184,0.895,0.043,,0.091,0.583665188
3052,FORD,1,14,North West,2,998,2016,1364,125,0.428,0.037,0.001,0.053,0.595361617
1683,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.609538872
1091,VOLKSWAGEN,2,14,South West,2,1896,2002,1379,138,0.073,0.33,0.025,,0.422616715
1154,FORD,1,14,London,2,1388,2002,1097,158,0.562,0.026,,0.08,0.800814696
3675,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.484,0.021,0.002,0.036,0.269498864
309,FORD,2,14,North West,1,1998,2002,1506,156,0.204,0.443,0.026,,0.495498517
530,FORD,1,13,London,1,1596,2002,1154,165,0.518,0.059,,0.115,0.788937116
1460,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.055057407
595,FORD,1,6,London,1,1596,2002,1180,163,0.518,0.059,,0.115,0.012189501
2657,VOLKSWAGEN,1,96,London,2,1395,2016,1362,125,0.158,0.034,,0.028,0.397528143
377,VAUXHALL,1,13,South West,1,1199,2002,1455,154,0.211,0.031,,0.052,0.447810641
2446,VOLKSWAGEN,1,96,London,1,1395,2016,1505,127,0.213,0.029,,0.042,0.496514917
302,VOLKSWAGEN,2,6,South West,2,1896,2002,1832,173,0.463,0.387,0.035,,0.018852122
3506,FORD,1,14,South West,5,1498,2016,1421,140,0.506,0.027,0.004,0.069,0.641954006
1418,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.496556728
1818,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.963577136
2433,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.249302906
1945,VAUXHALL,1,14,London,1,1364,2016,1394,145,0.593,0.011,,0.03,0.081316586
2856,VAUXHALL,1,96,North West,5,1364,2016,1393,139,0.461,0.013,,0.031,0.394859053
873,VOLKSWAGEN,1,3,London,2,1390,2002,0,161,0.172,,,,0.885981823
647,FORD,1,14,North West,4,1596,2002,1167,165,0.518,0.059,,0.115,0.154876642
2801,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.092113385
88,VOLKSWAGEN,2,6,South West,4,1896,2002,1480,146,0.081,0.376,0.029,,0.483251538
3646,BMW,1,4,South West,2,1997,2016,1470,159,0.309,0.024,,0.027,0.538973567
2914,VOLKSWAGEN,1,14,North West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.995450551
406,FORD,1,14,South West,1,1596,2002,1152,165,0.518,0.059,,0.115,0.113830426
1754,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.278422198
178,TOYOTA,1,6,South West,1,1998,2002,1460,211,0.61,0.04,,0.07,0.709264285
2940,VAUXHALL,1,14,North West,1,1598,2016,1355,159,0.809,0.012,,0.051,0.541578304
3263,FORD,1,14,North West,1,998,2016,1177,99,0.355,0.041,0.001,0.067,0.793440108
3409,VOLKSWAGEN,2,14,South West,5,1968,2016,1395,114,0.133,0.067,,,0.167191562
2964,VOLKSWAGEN,1,14,South West,5,1984,2016,1392,145,0.362,0.029,,0.053,0.665872123
1513,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.838363354
962,FORD,1,14,South West,1,1796,2002,1204,181,0.895,0.043,,0.091,0.493010811
537,BMW,1,4,London,1,1995,2002,1570,203,0.811,0.053,,0.12,0.764327386
2941,BMW,2,5,South West,5,1995,2016,1615,114,0.128,0.023,,,0.201176313
3468,FORD,1,14,South West,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.024717542
3340,TOYOTA,8,6,South West,1,2494,2016,1810,118,0.267,0.009,,0.049,0.702622538
1727,VAUXHALL,1,14,North West,1,1364,2016,1394,145,0.593,0.011,,0.03,0.197913299
2521,FORD,2,14,South West,5,1499,2016,1399,99,0.354,0.074,,,0.517690877
3208,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.782105683
214,FORD,1,14,London,2,1988,2002,1314,218,0.148,0.061,,0.051,0.264320683
1955,VAUXHALL,1,13,London,1,1229,2016,1086,125,0.474,0.013,,0.038,0.358614866
2785,VAUXHALL,1,14,North West,1,1398,2016,1163,118,0.463,0.01,,0.031,0.469747625
5,VOLKSWAGEN,2,2,London,1,1896,2002,1533,154,0.181,0.313,0.04,,0.098278317
1308,VAUXHALL,2,96,London,2,1956,2016,1788,161,0.057,0.053,,,0.313851786
2129,VOLKSWAGEN,1,14,North West,1,1395,2016,1316,113,0.242,0.033,,0.048,0.835810967
2875,FORD,2,14,North West,5,1499,2016,1399,99,0.354,0.074,,,0.64517123
831,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.299424385
3723,FORD,1,14,South West,1,999,2016,1333,108,0.447,0.03,0.002,0.076,0.391052581
3517,VOLKSWAGEN,2,96,South West,5,1968,2016,1554,136,0.136,0.036,,,0.44503432
1609,VAUXHALL,1,14,London,2,1398,2016,1163,118,0.463,0.01,,0.031,0.372096141
2786,BMW,1,5,North West,1,1998,2016,1615,134,0.151,0.025,,0.04,0.875065438
411,VOLKSWAGEN,1,14,South West,4,1198,2002,1143,142,0.68,0.042,,0.03,0.691421065
770,BMW,1,4,South West,1,2494,2002,0,239,0.255,,,,0.835565926
1466,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.942137426
3392,FORD,2,14,North West,1,1499,2016,1399,98,0.354,0.074,,,0.507102789
1571,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.166471001
2253,BMW,2,5,South West,5,1995,2016,1615,106,0.128,0.023,,,0.152325609
115,VOLKSWAGEN,1,13,London,1,1200,2002,1092,142,0.474,0.015,,0.032,0.708178997
750,FORD,2,6,North West,2,1753,2002,1295,143,0.109,0.489,0.044,0.018,0.705082916
934,TOYOTA,1,14,South West,2,1598,2002,1290,168,0.55,0.03,,0.06,0.026102128
3432,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.699986809
3725,VAUXHALL,1,14,South West,1,1398,2016,1163,120,0.463,0.01,,0.031,0.872090872
1104,FORD,1,13,South West,2,1596,2002,1184,192,0.518,0.059,,0.115,0.698679727
2804,BMW,2,2,North West,5,1995,2016,1705,109,0.144,0.031,,,0.522013344
3064,VOLKSWAGEN,1,6,North West,5,1395,2016,1368,118,0.304,0.031,,0.058,0.32666557
1336,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.906085008
977,VAUXHALL,1,13,South West,2,1199,2002,1455,154,0.211,0.031,,0.052,0.170689793
719,FORD,1,14,North West,1,2967,2002,1506,245,0.236,0.053,,0.035,0.068376866
1770,FORD,2,96,North West,1,1997,2016,1828,129,0.239,0.048,,,0.002587244
1842,VAUXHALL,2,14,London,5,1598,2016,1350,103,0.17,0.032,0.001,,0.479052483
263,VAUXHALL,1,14,South West,2,1199,2002,1430,154,0.211,0.031,,0.052,0.049112333
2613,BMW,2,6,South West,5,2993,2016,2145,158,0.186,0.057,,,0.269115645
3601,BMW,2,2,South West,1,1995,2016,1705,109,0.144,0.031,,,0.230503894
2044,VAUXHALL,2,14,North West,1,1956,2016,1613,118,0.08,0.06,,,0.317039394
2718,BMW,2,2,South West,5,1995,2016,1495,109,0.312,0.042,,,0.382900595
2099,VAUXHALL,1,14,North West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.804240786
2574,BMW,2,6,London,5,1995,2016,1505,109,0.222,0.037,,,0.076324881
3791,FORD,2,14,South West,5,1997,2016,1681,122,0.215,0.057,,,0.308866471
2815,BMW,2,2,North West,1,2993,2016,1705,145,0.341,0.053,,,0.644219978
1617,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.704582788
3164,BMW,2,2,North West,1,1995,2016,1695,114,0.314,0.048,,,0.985054299
1526,FORD,2,14,London,5,1499,2016,1399,98,0.354,0.074,,,0.072817232
3660,VAUXHALL,1,13,South West,5,1598,2016,1278,174,0.519,0.026,,0.034,0.652743401
3640,VAUXHALL,2,14,South West,5,1598,2016,1613,99,0.056,0.054,,,0.101486737
758,VOLKSWAGEN,1,13,London,2,1390,2002,1189,180,0.096,0.064,,0.092,0.807937802
54,BMW,1,4,London,1,3246,2002,1730,292,0.779,0.031,,0.125,0.801248805
3038,BMW,2,6,South West,5,1995,2016,1575,115,0.269,0.044,,,0.906329713
2983,FORD,1,13,North West,1,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.198530358
2915,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.139017775
25,TOYOTA,1,14,North West,1,1299,2002,0,144,0.88,0.04,,0.1,0.213002476
2226,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.086805885
2898,FORD,1,13,North West,1,998,2016,1094,99,0.445,0.012,0.001,0.065,0.571817763
550,VAUXHALL,1,13,London,2,1389,2002,1545,190,0.287,0.057,,0.065,0.07004628
1089,VOLKSWAGEN,1,13,South West,1,1390,2002,1012,149,0.294,0.03,,0.067,0.770086323
1855,VAUXHALL,2,96,South West,5,1598,2016,1923,145,0.316,0.041,,,0.494739993
3240,VAUXHALL,1,14,North West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.134093426
901,BMW,2,2,South West,1,2497,2002,1680,216,0.173,0.433,0.046,,0.424185662
3380,VAUXHALL,2,14,North West,1,1598,2016,1613,109,0.035,0.026,,,0.185714397
3758,FORD,2,14,North West,1,1997,2016,1524,110,0.243,0.067,,,0.924540688
2361,BMW,2,6,South West,5,1995,2016,1795,122,0.332,0.054,,,0.982641997
2682,BMW,1,5,London,1,1998,2016,1550,141,0.213,0.022,,0.053,0.112661916
2620,BMW,2,14,London,2,1496,2016,1470,103,0.091,0.063,,,0.821305714
1391,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.752452738
585,VAUXHALL,1,13,London,2,1199,2002,1430,154,0.211,0.031,,0.052,0.586086264
2863,FORD,1,14,North West,1,999,2016,1382,125,0.451,0.036,0.001,0.072,0.734005724
3690,BMW,8,2,South West,5,1998,2016,1735,49,0.082,0.006,,0.017,0.948237103
1161,VOLKSWAGEN,1,14,South West,1,1390,2002,1190,161,0.308,0.042,,0.064,0.009973605
1780,VAUXHALL,2,96,South West,1,1598,2016,1923,145,0.316,0.041,,,0.684789944
2635,FORD,1,14,London,5,1596,2016,1144,138,0.314,0.017,,0.037,0.403732209
3592,VOLKSWAGEN,1,13,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.988126796
3196,VOLKSWAGEN,2,14,London,5,1598,2016,1339,104,0.094,0.037,,,0.097878616
684,VOLKSWAGEN,1,13,North West,2,1781,2002,1324,190,0.667,0.03,,0.054,0.406278542
1708,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.545099196
1180,TOYOTA,2,6,South West,1,1995,2002,0,190,0.08,,,,0.545144352
3207,FORD,2,14,North West,5,1997,2016,1773,135,0.217,0.078,,,0.976264077
1891,FORD,1,14,North West,1,998,2016,1364,125,0.428,0.037,0.001,0.053,0.804724848
106,VAUXHALL,1,13,South West,1,1796,2002,1680,190,0.627,0.008,,0.035,0.689692034
261,VAUXHALL,1,96,South West,2,1598,2002,1970,190,0.219,0.026,,0.037,0.229525706
1783,VAUXHALL,1,96,North West,1,1398,2016,1361,140,0.695,0.028,,0.05,0.627142002
2906,FORD,1,96,North West,5,1388,2016,1328,139,0.472,0.049,,0.051,0.701713101
1334,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.801122853
275,TOYOTA,1,14,London,2,1598,2002,1325,190,0.45,0.02,,0.05,0.741782406
1605,TOYOTA,8,6,South West,5,2494,2016,1745,115,0.262,0.007,,0.041,0.305098909
742,VOLKSWAGEN,1,14,London,2,1390,2002,1216,180,0.096,0.064,,0.092,0.718442264
3363,VOLKSWAGEN,2,14,South West,5,1968,2016,1429,127,0.067,0.07,,,0.422537868
1404,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.232577456
870,FORD,1,14,South West,1,1999,2002,1396,192,0.427,0.078,,0.109,0.45820795
531,FORD,1,6,South West,2,1596,2002,1180,165,0.518,0.059,,0.115,0.130966537
301,TOYOTA,1,14,London,1,1398,2002,1285,159,0.47,0.02,,0.07,0.880697924
815,VOLKSWAGEN,1,14,London,2,1198,2002,1120,142,0.474,0.015,,0.032,0.740475516
3328,VOLKSWAGEN,2,14,South West,5,1968,2016,1395,114,0.133,0.067,,,0.538508767
2633,FORD,1,14,London,1,1498,2016,1421,140,0.506,0.027,0.004,0.069,0.727679997
229,FORD,2,14,South West,1,1399,2002,1166,120,0.154,0.423,0.036,,0.196865701
2638,FORD,1,96,London,5,999,2016,1449,117,0.473,0.035,0.003,0.056,0.880644861
1591,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.835071033
3131,VAUXHALL,1,13,North West,2,1398,2016,1141,120,0.463,0.01,,0.031,0.562740327
3109,BMW,2,5,North West,1,2993,2016,1885,152,0.183,0.042,,,0.023109614
1876,VAUXHALL,1,96,South West,5,1364,2016,1613,168,0.435,0.014,,0.033,0.045101808
2030,FORD,1,14,South West,5,998,2016,1168,114,0.206,0.034,,0.05,0.017192587
2126,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,106,0.137,0.067,,,0.431170577
3820,VOLKSWAGEN,1,14,South West,2,999,2016,1055,106,0.407,0.016,,0.034,0.417417067
3503,FORD,1,14,South West,5,999,2016,1329,105,0.436,0.03,0.001,0.065,0.350082712
496,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.076999296
2118,BMW,2,14,South West,5,1995,2016,1425,109,0.248,0.028,,,0.370789198
476,FORD,1,14,North West,1,1242,2002,1017,161,0.296,0.061,,0.054,0.760356634
232,FORD,1,96,London,2,2295,2002,1736,264,0.341,0.084,,0.106,0.468708505
3354,FORD,2,14,North West,5,1499,2016,1399,98,0.354,0.074,,,0.307395366
2824,FORD,1,14,North West,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.836242806
1630,FORD,2,96,South West,5,1997,2016,1757,139,0.195,0.038,,,0.125381342
414,VAUXHALL,2,96,South West,1,1995,2002,2075,175,0.434,0.428,0.034,,0.44115623
1249,VOLKSWAGEN,1,13,London,1,1198,2002,1103,142,0.68,0.042,,0.03,0.898155836
2768,FORD,1,14,North West,2,998,2016,1364,125,0.428,0.037,0.001,0.053,0.014475621
622,TOYOTA,1,6,London,2,1998,2002,1405,211,0.61,0.04,,0.07,0.771553829
3596,FORD,2,96,North West,5,1997,2016,1828,129,0.239,0.048,,,0.598234166
2031,VAUXHALL,2,14,South West,5,1598,2016,1613,99,0.056,0.054,,,0.604586591
57,BMW,1,6,London,1,2171,2002,1700,242,0.832,0.005,,0.091,0.696300289
2344,FORD,1,14,London,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.077180958
1159,FORD,1,14,South West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.752181025
3781,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.747753361
2114,VAUXHALL,1,13,South West,1,1398,2016,1141,118,0.463,0.01,,0.031,0.414108697
631,VAUXHALL,1,4,North West,1,1796,2002,1745,192,0.627,0.008,,0.035,0.421573613
637,VOLKSWAGEN,1,14,North West,1,1198,2002,1127,142,0.68,0.042,,0.03,0.157752204
1745,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.421526155
978,FORD,2,14,South West,1,1753,2002,1280,145,0.109,0.489,0.044,0.018,0.830810512
1446,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.270073516
429,VOLKSWAGEN,2,1,South West,1,1896,2002,0,140,0.081,,,,0.254097348
1034,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.230071465
1750,VAUXHALL,2,14,North West,5,1598,2016,1504,124,0.14,0.035,,,0.660043643
914,BMW,2,2,South West,1,2497,2002,1670,179,0.265,0.445,0.047,,0.242327751
2383,VOLKSWAGEN,1,6,London,1,1395,2016,1353,123,0.248,0.035,,0.066,0.06886056
1984,BMW,2,14,London,5,1496,2016,1395,94,0.172,0.028,,,0.236985377
3389,VOLKSWAGEN,1,14,South West,2,999,2016,1055,108,0.535,0.012,,0.039,0.875683757
1491,FORD,2,14,South West,5,1997,2016,1788,134,0.351,0.065,0.002,,0.216753741
2841,FORD,1,13,North West,1,998,2016,1176,99,0.355,0.041,0.001,0.067,0.437489
3676,BMW,8,2,South West,5,1998,2016,1735,49,0.082,0.006,,0.017,0.18160602
3798,VOLKSWAGEN,2,6,South West,5,1968,2016,1541,119,0.079,0.062,,,0.535400626
1569,VAUXHALL,2,14,South West,5,1956,2016,1664,147,0.078,0.062,,,0.956039197
3060,FORD,1,13,North West,1,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.238206311
392,VOLKSWAGEN,1,14,South West,2,1198,2002,1132,142,0.68,0.042,,0.03,0.238142325
798,VOLKSWAGEN,1,14,London,1,1598,2002,1276,166,0.504,0.047,,0.083,0.149348519
529,FORD,1,14,London,1,1596,2002,1189,192,0.518,0.059,,0.115,0.503863867
2083,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.360937168
3577,BMW,2,6,South West,1,2993,2016,2145,158,0.186,0.057,,,0.49274068
479,FORD,1,14,London,1,1596,2002,1167,165,0.518,0.059,,0.115,0.537118664
253,FORD,1,14,London,2,1596,2002,1167,165,0.518,0.059,,0.115,0.523515841
2748,TOYOTA,8,6,London,1,1798,2016,1520,92,0.182,0.005,,0.036,0.39381523
3805,FORD,2,14,South West,5,1499,2016,1553,94,0.407,0.07,,,0.463376681
443,FORD,1,13,London,2,1242,2002,989,161,0.296,0.061,,0.054,0.487010163
1690,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.776847478
2225,BMW,2,5,South West,5,1995,2016,1615,114,0.128,0.023,,,0.787867733
3481,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,109,0.137,0.067,,,0.715541837
1346,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.734085017
1355,VAUXHALL,1,14,North West,2,1398,2016,1199,137,0.645,0.008,,0.044,0.582693168
1896,FORD,1,14,London,2,998,2016,1335,125,0.428,0.037,0.001,0.053,0.958091855
639,VOLKSWAGEN,1,14,North West,1,1390,2002,1171,156,0.165,0.047,,0.075,0.61730408
1751,VAUXHALL,1,96,North West,1,1398,2016,1361,140,0.695,0.028,,0.05,0.085007732
2874,BMW,2,2,North West,5,1995,2016,1505,104,0.148,0.03,,,0.417908999
1872,VAUXHALL,2,6,South West,5,1598,2016,1393,92,0.268,0.047,,,0.037915349
2277,BMW,8,2,South West,5,1998,2016,1735,45,0.082,0.006,,0.017,0.415925087
216,FORD,1,14,North West,1,1388,2002,1097,158,0.644,0.048,,0.064,0.212090092
2937,FORD,1,6,North West,2,1498,2016,1446,140,0.506,0.027,0.004,0.069,0.087057312
3312,VOLKSWAGEN,2,96,London,5,1968,2016,1843,136,0.052,0.06,,,0.719471333
2925,VOLKSWAGEN,1,14,South West,5,1984,2016,1505,159,0.609,0.047,,0.06,0.456772255
3343,VOLKSWAGEN,2,96,London,5,1968,2016,1554,136,0.136,0.036,,,0.706639854
1647,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.142337173
2379,VOLKSWAGEN,1,14,London,1,1197,2016,1139,109,0.199,0.018,,0.035,0.048742122
